product_name,category,price,store,product_url,source_url,parsed_at
"Бильярдный кий для пула, двухсоставной (мастер Давидов)",cues,15860,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/198343/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Бильярдный кий для русского бильярда Айриш, односоставной",cues,15860,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/33226/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
Бильярдный кий для русского бильярда Волна односоставной,cues,15860,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/27759/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Бильярдный кий для русского бильярда Всеволод, двухсоставной (мастер Давидов)",cues,15860,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/32272/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Бильярдный кий для русского бильярда Закат, односоставной",cues,15860,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/33228/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
Кий для бильярда карбоновый тактильная оплетка (черно-серый),cues,15860,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256236/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Кий для русского бильярда 130 см, двухсоставной (граб термо, белый граб, махагон) 7 запилов",cues,15860,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/193151/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
Кий для русского бильярда 160 см фибергласс SportPlay-48,cues,16000,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256176/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
Кий двухсоставной пульный SportPlay-48,cues,16010,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/256115/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=4,2026-05-26 13:32:07
"Кий для русского бильярда Классика 6 запилов, двухсоставной (термограб, мореный граб, черный граб)",cues,16020,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/193553/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
Кий для русского бильярда Cuetec Special Edition 2008 (черный),cues,16050,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/161564/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Бильярдный кий для американского пула McDermott K97B двухсоставной, 108 см (натуральный)",cues,16080,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/177872/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Бильярдный кий Юниор-4 двухсоставной (сапели, граб)",cues,16410,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/161905/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
Кий для бильярда карбоновый (черно-зеленый),cues,16510,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256239/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
"Бильярдный кий Тропикана (черный граб, граб) 15 запилов",cues,16520,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/196795/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=10,2026-05-26 13:32:19
