name,address,district,rating,reviews,lat,lon
"Беркут, бильярдный клуб","улица Академика Янгеля, 6 к1",Другое,,,55.595881,37.592104
"Атлантис Кино, бильярдный зал","Варшавское шоссе, 160",Другое,3.0,44.0,55.583059,37.594803
"Бкм, бильярдный клуб","улица Академика Варги, 8 к1",Другое,4.4,8.0,55.630234,37.473801
Китайский бильярдный клуб,"Вернадского проспект, 89 к1",Другое,,,55.666802,37.498222
Бильярдный клуб,"улица Лобачевского, 114",Другое,5.0,1.0,55.690728,37.47781
"Poolschool, детская школа бильярда","Новоясеневский проспект, 2а",Другое,5.0,12.0,55.617824,37.50543
Модус V,"32-й квартал, вл16 ст2",Другое,,,55.628574,37.41309
Бильярдная комната,"Торговая улица, ст1",Другое,,,55.681044,37.415546
"Экипаж, гостиничный комплекс","1-я Рейсовая улица, 13",Другое,4.5,469.0,55.61287,37.30106
"Vada, бильярдный клуб","бульвар Веласкеса, 3 к1",Другое,5.0,2.0,55.592587,37.457073
"Витязь, бильярдный бар-клуб","Большая Филёвская улица, 35",Другое,3.1,8.0,55.743021,37.481169
"Chester, бильярдный клуб","Калужское шоссе 22 километр, 10",Другое,,,55.601461,37.471349
Бильярдный клуб,"Родниковая улица, 2 к3",Другое,,,55.638995,37.380176
Бильярдный клуб,"Калужское шоссе 22 километр, 10 ст19",Другое,,,55.599163,37.46605
"Беш-Бармак, чайхана","1-й микрорайон, 43а",Другое,4.5,38.0,55.603913,37.338708
"Транзит Времени, бильярдный клуб-бар и ресторан","улица Кулакова, 20 к1",Другое,4.9,32.0,55.803226,37.390878
"Золотой Шар, боулинг-клуб и бильярдный клуб","улица 50 лет Октября, 12",Другое,4.9,366.0,55.817865,37.31115
"Виктория, рестобар-бильярдная","бульвар Любы Новоселовой, 5",Другое,5.0,355.0,55.68173,37.256086
"АмбарЪ, развлекательный центр","улица Свободы, 1",Другое,4.5,2.0,55.672549,37.280106
"B-8, бильярдный клуб","улица Маковского, 2а",Другое,4.1,4.0,55.670876,37.280877
РгоБильярд,"Красногорский бульвар, 4 к1",Другое,,,55.814592,37.362874
"Пойма, бильярд","Красногорский бульвар, 4р",Другое,1.4,1.0,55.8173,37.359295
"Республика, бильярдный клуб","улица Ленина, 28",Другое,4.4,3.0,55.760775,37.242709
"Удача, бильярдный клуб","Туристская улица, 17",Другое,4.5,15.0,55.851636,37.421328
"Кодру М, сауна","Нелидовская улица, 18",Другое,4.5,8.0,55.847062,37.437314
"Космик, развлекательные центры","МКАД 71 километр, 16а",Другое,4.4,687.0,55.859751,37.395874
"Игралайф, развлекательный центр","Правобережная улица, 1Б",Другое,3.5,21.0,55.881055,37.448707
"7 луза, бильярдный клуб","Соколово-Мещерская улица, 16/114",Другое,3.4,8.0,55.896988,37.38984
"Пингвин, бильярдный клуб","Молодёжная улица, 6",Другое,3.1,4.0,55.881009,37.419821
Сауна,"переулок Ангелов, 6 к2",Другое,4.7,23.0,55.85503,37.347486
"БлокПост, бильярдный клуб","Юбилейный проспект, 40",Другое,5.0,1.0,55.887359,37.418027
"Мама дали, кафе","улица Пожарского, 22 ст1",Другое,4.6,49.0,55.893349,37.481153
Private billiards,"Новокуркинское шоссе, 1",Другое,,,55.884942,37.407204
Академия снукера,"улица Ильича, 7",Другое,,,55.912691,37.852702
"Snooker, бильярдный клуб","40-й комплекс, 6а",Другое,4.6,107.0,55.735701,52.383871
