place_name,district,address,search_query,yandex_name,yandex_address,yandex_categories,yandex_maps_url,status,error
"Vada, бильярдный клуб",Другое,"бульвар Веласкеса, 3 к1","Vada, бильярдный клуб бульвар Веласкеса, 3 к1 Москва",Vada,"Москва, Новомосковский административный округ, район Коммунарка, бульвар Веласкеса, 3, корп. 1",Бильярдный клуб,https://yandex.com/maps/org/vada/160335725245/,found,
"Витязь, бильярдный бар-клуб",ЗАО,"Большая Филёвская улица, 35","Витязь, бильярдный бар-клуб Большая Филёвская улица, 35 Москва",Витязь,"Москва, Большая Филёвская ул., 35","Бильярдный клуб, бар",https://yandex.com/maps/org/vityaz/1128015006/,found,
"Chester, бильярдный клуб",Другое,"Калужское шоссе 22 километр, 10","Chester, бильярдный клуб Калужское шоссе 22 километр, 10 Москва",Chester,"Москва, Новомосковский административный округ, район Коммунарка, Калужское шоссе, 22-й километр, 10",Бильярдный клуб,https://yandex.com/maps/org/chester/190638040032/,found,
Бильярдный клуб,ЗАО,"Родниковая улица, 2 к3","Бильярдный клуб Родниковая улица, 2 к3 Москва",Бильярдный клуб,"Москва, Родниковая ул., 2",Бильярдный клуб,https://yandex.com/maps/org/bilyardny_klub/65916212166/,found,
Бильярдный клуб,Другое,"Калужское шоссе 22 километр, 10 ст19","Бильярдный клуб Калужское шоссе 22 километр, 10 ст19 Москва",Chester,"Москва, Новомосковский административный округ, район Коммунарка, Калужское шоссе, 22-й километр, 10",Бильярдный клуб,https://yandex.com/maps/org/chester/190638040032/,found,
"Беш-Бармак, чайхана",Другое,"1-й микрорайон, 43а","Беш-Бармак, чайхана 1-й микрорайон, 43а Москва",Чайхана Беш-Бармак,"Московский, 1-й микрорайон, 43А","Кафе, банкетный зал, ресторан",https://yandex.com/maps/org/beshbarmak/140940808875/,found,
"Транзит Времени, бильярдный клуб-бар и ресторан",СЗАО,"улица Кулакова, 20 к1","Транзит Времени, бильярдный клуб-бар и ресторан улица Кулакова, 20 к1 Москва",Транзит Времени,"Москва, ул. Кулакова, 20, корп. 1","Бильярдный клуб, ресторан, бар",https://yandex.com/maps/org/transit_vremeni/1805901198/,found,
"Золотой Шар, боулинг-клуб и бильярдный клуб",Другое,"улица 50 лет Октября, 12","Золотой Шар, боулинг-клуб и бильярдный клуб улица 50 лет Октября, 12 Москва",Золотой Шар,"Красногорск, ул. 50 лет Октября, 12","Боулинг, организация мероприятий, кафе, бильярдный клуб",https://yandex.com/maps/org/zolotoy_shar/1175735463/,found,
"Виктория, рестобар-бильярдная",Другое,"бульвар Любы Новоселовой, 5","Виктория, рестобар-бильярдная бульвар Любы Новоселовой, 5 Москва",Виктория,"Одинцово, бул. Любы Новосёловой, 5","Бар, кальян-бар, бильярдный клуб",https://yandex.com/maps/org/victory/1043451080/,found,
"АмбарЪ, развлекательный центр",Другое,"улица Свободы, 1","АмбарЪ, развлекательный центр улица Свободы, 1 Москва",АмбарЪ,"Одинцово, ул. Свободы, 1","Боулинг, ресторан, ночной клуб",https://yandex.com/maps/org/ambar/235366013563/,found,
"B-8, бильярдный клуб",Другое,"улица Маковского, 2а","B-8, бильярдный клуб улица Маковского, 2а Москва",B-8,"Одинцово, ул. Маковского, 2А","Бильярдный клуб, ресторан, бар",https://yandex.com/maps/org/b_8/199442758975/,found,
